Link,Text
index.php,"

"
#search, 
index.php,"




"
https://nmit.directverify.in/student/#/app/request,Credential Verification
admissions2024.php, Admissions
achievements.php, Achievements
placement.php, Placement
contact-nmit.php, Contact Us
#,ABOUT US
about-nitte.php,Nitte Education Trust
about-nmit.php,About NMIT
about-nitte-vision.php,"Vision, Mission & Core Values"
founder.php,Founder
advisor-message.php,Advisor's Message
organization-structure.php,Organization Structure
principal.php,Principal's Message
governing-council.php,Governing Council
#,Programs 
ai-datascience.php,Artificial Intelligence & Data Science
ai-machinelearning.php,Artificial Intelligence & Machine Learning
aeronautical-engineering.php,Aeronautical Engineering
civil-engineering.php,Civil Engineering
#,Computer Science & Business Systems
computer-science.php,Computer Science & Engineering
electrical-and-electronic.php,Electrical & Electronics Engineering
electronic-and-comunication.php,Electronics & Communication Engineering
#,Electronics Engineering (VLSI Design & Technology)
information-science-and-engineering.php,Information Science & Engineering
mechanical-engineering.php,Mechanical Engineering
defence-technology.php,Defence Technology
#,E-Mobility and AI
renewable-enregy.php,Renewable Energy
robotics-ai.php,Robotics and Artificial Intelligence
Structural-Engineering.php,Structural Engineering
mba.php, MBA
master-computer-application.php,MCA
supporting-departments.php,Science and Humanities
d.p-aeronautical-engineering.php,Aeronautical Engineering
d.p-civil-engineering.php,Civil Engineering
d.p-computer-science.php,Computer Science & Engineering
d.p-electrical-and-electronics-engineering.php,Electrical & Electronics Engineering
d.p-electronic-comunication.php,Electronics & Communication Engineering
d.p-information-science-and-engineering.php,Information Science & Engineering
d.p-mechanical-engineering.php,Mechanical Engineering
d.p-management-studies.php,Management Studies
physics.php,Physics
chemistry.php,Chemistry
mathematics.php, Mathematics
d.p-mca.php,MCA
research-supervisor-vtu.php,Research Supervisor - VTU
#,Research 
center-for-space-research.php,Center for Space Research
center-for-robotics-research.php,Centre for Robotics Research
center-for-nanomaterials-&-mems.php,Center for Nanomaterials & MEMS
center-of-design-engineering.php,Center for Design and Process Simulations
aerospace-and-internet-of-things.php,Aerospace and Internet of Things
power-engineering.php,Power Engineering
center-for-womens-empowerment.php,Centre for Women Empowerment
center-for-quantum-computing.php,Centre for Quantum Computing
center-for-cyber-security.php,Centre for Cyber Security
nmit-aicte-idea-lab.php,NMIT-AICTE Idea Lab
